id,name,dock_count,city,installation_date
2,San Jose Diridon Caltrain Station,27,San Jose,2013/8/6
3,San Jose Civic Center,15,San Jose,2013/8/5
4,Santa Clara at Almaden,11,San Jose,2013/8/6
5,Adobe on Almaden,19,San Jose,2013/8/5
6,San Pedro Square,15,San Jose,2013/8/7
7,Paseo de San Antonio,15,San Jose,2013/8/7
8,San Salvador at 1st,15,San Jose,2013/8/5
9,Japantown,15,San Jose,2013/8/5
10,San Jose City Hall,15,San Jose,2013/8/6
11,MLK Library,19,San Jose,2013/8/6
12,SJSU 4th at San Carlos,19,San Jose,2013/8/7
13,St James Park,15,San Jose,2013/8/6
14,Arena Green / SAP Center,19,San Jose,2013/8/5
16,SJSU - San Salvador at 9th,15,San Jose,2013/8/7
21,Franklin at Maple,15,Redwood City,2013/8/12
22,Redwood City Caltrain Station,25,Redwood City,2013/8/15
23,San Mateo County Center,15,Redwood City,2013/8/15
24,Redwood City Public Library,15,Redwood City,2013/8/12
25,Stanford in Redwood City,15,Redwood City,2013/8/12
26,Redwood City Medical Center,15,Redwood City,2013/8/12
27,Mountain View City Hall,15,Mountain View,2013/8/16
28,Mountain View Caltrain Station,23,Mountain View,2013/8/15
29,San Antonio Caltrain Station,23,Mountain View,2013/8/15
30,Evelyn Park and Ride,15,Mountain View,2013/8/16
31,San Antonio Shopping Center,15,Mountain View,2013/2/28
32,Castro Street and El Camino Real,11,Mountain View,2013/2/28
33,Rengstorff Avenue / California Street,15,Mountain View,2013/8/16
34,Palo Alto Caltrain Station,23,Palo Alto,2013/8/14
35,University and Emerson,11,Palo Alto,2013/8/15
36,California Ave Caltrain Station,15,Palo Alto,2013/8/14
37,Cowper at University,11,Palo Alto,2013/8/14
38,Park at Olive,15,Palo Alto,2013/8/14
41,Clay at Battery,15,San Francisco,2013/8/19
42,Davis at Jackson,15,San Francisco,2013/8/19
45,Commercial at Montgomery,15,San Francisco,2013/8/19
46,Washington at Kearney,15,San Francisco,2013/8/19
47,Post at Kearney,19,San Francisco,2013/8/19
48,Embarcadero at Vallejo,15,San Francisco,2013/8/19
49,Spear at Folsom,19,San Francisco,2013/8/20
50,Harry Bridges Plaza (Ferry Building),23,San Francisco,2013/8/20
51,Embarcadero at Folsom,19,San Francisco,2013/8/20
39,Powell Street BART,19,San Francisco,2013/8/25
54,Embarcadero at Bryant,15,San Francisco,2013/8/20
55,Temporary Transbay Terminal (Howard at Beale),23,San Francisco,2013/8/20
56,Beale at Market,19,San Francisco,2013/8/20
57,5th at Howard,15,San Francisco,2013/8/21
58,San Francisco City Hall,19,San Francisco,2013/8/21
59,Golden Gate at Polk,23,San Francisco,2013/8/21
60,Embarcadero at Sansome,15,San Francisco,2013/8/21
61,2nd at Townsend,27,San Francisco,2013/8/22
62,2nd at Folsom,19,San Francisco,2013/8/22
63,Howard at 2nd,19,San Francisco,2013/8/22
64,2nd at South Park,15,San Francisco,2013/8/22
65,Townsend at 7th,15,San Francisco,2013/8/22
66,South Van Ness at Market,19,San Francisco,2013/8/23
67,Market at 10th,27,San Francisco,2013/8/23
68,Yerba Buena Center of the Arts (3rd @ Howard),19,San Francisco,2013/8/23
69,San Francisco Caltrain 2 (330 Townsend),23,San Francisco,2013/8/23
70,San Francisco Caltrain (Townsend at 4th),19,San Francisco,2013/8/23
71,Powell at Post (Union Square),19,San Francisco,2013/8/23
72,Civic Center BART (7th at Market),23,San Francisco,2013/8/23
73,Grant Avenue at Columbus Avenue,15,San Francisco,2013/8/21
74,Steuart at Market,23,San Francisco,2013/8/25
75,Mechanics Plaza (Market at Battery),19,San Francisco,2013/8/25
76,Market at 4th,19,San Francisco,2013/8/25
77,Market at Sansome,27,San Francisco,2013/8/25
80,Santa Clara County Civic Center,15,San Jose,2013/2/28
82,Broadway St at Battery St,15,San Francisco,2014/1/22
83,Mezes Park,15,Redwood City,2014/2/20
84,Ryland Park,15,San Jose,2014/9/4
